กงต์, โอกูสต์	COMTE, AUGUSTE
ทวิน	TWIN
ทวิสเตอร์	TWISTER
ทอกซอยด์	TOXOID
ทอกซาฟีน	TOXAPHENE
ทอช	TAUCH
ทอตเทล	TOTTEL
ทอทเซิ่น	THOMSEN
ทอน	THON
ทอนซิล	TONSIL
ทอนิก	TONIC
ทอนี่	TAWNEY
ทอปบูต	TOP-BOOT
ทอปปิก	TOPIC
ทอปปิง	TOPPING
ทอปสปิน	TOPSPIN
ทอพอโลยี	TOPOLOGY
ทอฟฟี่	TOFFEE
ทอม	TOM
ทอมซอไนต์	THOMSONITE
ทอมบอย	TOMBOY
ทอมป์สัน	THOMPSON
ทอมมี	TOMMY
ทอมสัน	THOMSON
ทอมสัน, วิลเลียม (ลอร์ดเดลวิน)	THOMSON, WILLIAM (LORD DELVIN)
ทอมส์	THOMS
ทอมัส	THOMAS
ทอมัส เคิร์ตซ์	THOMAS KURTZ
ทอมัส, ดิลัน	THOMAS, DYLAN
ทอยน์บี	TOYNBEE
ทอยน์บีม, อาร์โนลด์	TOYNBEE, ARNOLD
ทอยเชอร์	TEUSCHER
ทอยเฟิล	TEUFEL
ทอยเลต	TOILET
ทอรัส	TORUS
ทอรี	TORY
ทอร์	THORE
ทอร์ก	TORQUE
ทอร์ชัน	TORSION
ทอร์น	THORNE
ทอร์นดิก	THORNDIKE
ทอร์นนิ่ง	THORNING
ทอร์นวิล	THORNVILLE
ทอร์นเติน	THORNTON
ทอร์นเบิร์ก	THORNBURG
ทอร์นเบิร์ก	THORNBURGH
ทอร์นแบรี่	THORNBERRY
ทอร์ป	THORPE
ทอร์ริโดเนียน	TORRIDONIAN
ทอร์ลีย์	THORLEY
ทอร์ส	THORS
ทอร์ฮิล	THORNHILL
ทอร์เซิ่น	THORSEN
ทอร์เติน	THORTON
ทอร์เนอร์	THORNER
ทอร์เนโด	TORNADO
ทอร์เบอร์ไนต์	TORBERNITE
ทอลคีน	TOLKIEN
ทอลลี่	TALLY
ทอลล์	TALLE
ทอลีเซ่น	TALIESIN
ทอลเมิน	TALLMAN
ทอล์กออฟเดอะทาวน์	TALK OF THE TOWN
ทอล์กโชว์	TALK SHOW
ทอเทิ่ม	TATAM
ทอเทียนต์	TOTIENT
ทอเมอสัน	THOMASSON
ทอเมอเสิ่น	THOMASON
ทอเริลด์	THOROLD
ทอเรียม	THORIUM
ทอเรียไนต์	THORIANITE
ทอโร	THOREAU
ทอไรต์	THORITE
ทักซิโด	TUXEDO
ทักเกลียบูเอ้	TAGLIABUE
ทักเกอร์	TUCKER
ทักเกอร์, ริชาร์ด	TUCKER, RICHARD
ทักโบต	TUG BOAT
ทังกะ	TANKA
ทังสเตน	TUNGSTEN
ทังไก	TANGUY
ทัน	THUN
ทันบริดจ์	TUNBRIDGE
ทันเดอร์	THUNDER
ทับเนอร์	TEUBNER
ทัปเปอร์แวร์	TUPPERWARE
ทัฟต์	TAFT
ทัฟต์, วิลเลียม เฮาว์เอิร์ด	TAFT, WILLIAM HOWARD
ทัฟฟ์	TUFF
ทัฟเวล	TAVEL
ทัมส์อัป	THUMBS UP
ทัมไดรฟ์	THUMB DRIVE
ทัลบัต	TALBUT
ทัลเลิ่นต์	TALLANT
ทัวร์	TOUR
ทัวร์นาเมนต์	TOURNAMENT
ทัวร์มาลีน	TOURMALINE
ทัสค่า	TASCA
ทาจิกีสถาน	TAJIKISTAN
ทาซอส	THASOS
ทาทัม	TATUM
ทานานารีฟ	TANANARIVE
ทาบาสโก	TABASCO
ทาฟ	TAAFFE
ทามารา	TAMARA
ทามาโย	TAMAYO
ทาร์	TARR
ทาร์คิงตัน, บูท	TARKINGTON, BOOTH
ทาร์ซาน	TARZAN
ทาร์ต	TART
ทาร์น	TARN
ทาร์ปลีย์	TARPLEY
ทาร์ลเติ้น	TARLETON
ทาร์สเวล	TARZWELL
ทาร์เชอร์	TARCHER
ทาร์เบล	TARBELL
ทาร์เริ่นต์	TARRANT
ทาร์เวอร์	TARVER
ทาว	THAU
ทาวน์ชิป	TOWNSHIP
ทาวน์เชนด์	TOWNSHEAD
ทาวน์เฮาส์	TOWNHOUSE
ทาวบ์	TAUB
ทาวาเรส	TAVARES
ทาวิสต็อก	TAVISTOCK
ทาสก์	TASK
ทาสก์บาร์	TASK BAR
ทาเวอร์เนอร์	TAVERNER
ทาเวิร์น	TAVERNE
ทิก	TIG
ทิกเคอล่า	TIKKALA
ทิกเนอร์	TICKNOR
ทิกเพิน	THIGPEN
ทิงเจอร์	TINCTURE
ทิด	TIDD
ทิดอร์	TIDORE
ทิดเมิ่น	TIEDEMANN
ทิดเวล	TIDWELL
ทิน	TIN
ทินคัล	TINCAL
ทินดอลล์	TYNDALL
ทินเดล	TYNDALE
ทินเนอร์	THINNER
ทิป	TIP
ทิฟ	TIEF
ทิฟต์	TIFT
ทิฟฟิน	TIFFIN
ทิฟฟ์	TIFF
ทิฟเฟอนี	TIFFANY
ทิม	THIEME
ทิมบาลีส์	TIMBALES
ทิมพู	THIMPHU
ทิมมี	TIMMY
ทิมเบิร์ส	TIMBERS
ทิล	TEALE
ทิล	THIELE
ทิลท์	TILT
ทิลนีย์	TILNEY
ทิลลามุก	TILLAMOOK
ทิลลิช, พอล	TILLICH, PAUL
ทิลลิต	TILLETT
ทิลลีย์	TILLEY
ทิลลีเออร์	THUILLIER
ทิลลี่	TILLIE
ทิลลี่	TILLY
ทิลล์	TILL
ทิลสลีย์	TILSLEY
ทิลิงแฮสต์	TILLINGHAST
ทิลเซิ่น	TILSON
ทิลเดิ่น	TILDEN
ทิลเติ้น	TILTON
ทิลเมิน	TILGHMAN
ทิลเมิน	TILLMAN
ทิลแมน	TILMAN
ทิลไลต์	TILLITE
ทิวลิป	TULIP
ทิวส์เดย์	TUESDAY
ทิวเดอร์	TUDOR
ทิส	TEECE
ทิสชู	TISSUE
ทิสสอต	TISSOT
ทิเคอเนอร์	TICHENOR
ทิเชียน	TITIAN
ทิเบต	TIBET
ทิเลิตเซิน	TILLOTSON
ทิโมที	TIMOTHY
ทิ๊ก	TEAGUE
ที	TEE
ทีช	TEACH
ทีชเชอร์	TEACHER
ทีซีส	THESIS
ทีด	TEAD
ทีดีอาร์ไอ	TDRI
ทีดีเอส	TDS
ทีด้า	THEDA
ทีตา	THETA
ทีตเทอร์	TEETER
ทีนา	TINA
ทีนเอจ	TEEN-AGE
ทีบิตส์	TIBBETTS
ทีปี	TIPI
ทีฟรา	TEPHRA
ทีฟีแกรม	TEPHIGRAM
ทีม	TEAM
ทีมสเตอร์	TEAMSTERS
ทีมเปอร์ซูต	TEAM PURSUIT
ทีมเวิร์ก	TEAMWORK
ทียูนิต	TUNIT
ทีรี่	THIRY
ทีล	TEAL
ทีลอส	TELOS
ทีวี	TV
ทีวีพูล	TV POOL
ทีสั้น	THISSEN
ทีสเดล	TEASDALE
ทีสแควร์	T-SQUARE
ทีออฟ	TEE OFF
ทีออส	THEOS
ทีออเบิลด์	THEOBALD
ทีเกิล	TEAGLE
ทีเคโอ	TKO
ทีเชิร์ต	TEE SHIRT
ทีเชิ้ต	TEE-SHIRT
ทีเตอร์	TETER
ทีเบอรีอิส	TIBERIUS
ทีเบอโด	THIBODAUX
ทีเพอร์	TEPER
ทีเรียต	THERIOT
ทีเอสโอดี	THOD
ทีเออดอเริส	THEODORUS
ทีเออโดเซีย	THEODOSIA
ทีเอไอเอส	TAIS
ทีแอลวี	TLV
ทีโบนสเต็ก	T-BONE STEAK
ทีโอ	THEO
ทีโอดอร์	THEODORE
ทีโอดอร์ นิวคอมบ์	THEODORE NEWCOMB
ทีโอดอโร	TEODORO
ทีโอดี	TOD
ทีโอโดไลต์	THEODOLITE
ทุนดรา	TUNDRA
ทูทอนิก	TEUTONIC
ทูนามิ	TUNAMI
ทูนิก	TUNIC
ทูน่า	TUNA
ทูบา	TUBA
ทูพีซ	TWO-PIECE
ทูฟา	TUFA
ทูลบาร์	TOOLBAR
ทูเดย์	TODAY
ทูเป้	TOUPEE
ทูเวย์	TWO-WAY
ทูโร	THUROW
ทูไลต์	THULITE
ทเวต	THWAITE
ทเวตส์	THWAITES
ทเวน	TWAIN
ทไวไลต์	TWILIGHT
ท็อกซิน	TOXIN
ท็อบ	TAUBE
ท็อป	TOP
ท็อปซีเครต	TOP SECRET
ท็อปบูต	TOP BOOT
ท็อปเลส	TOPLESS
ท็อปแฮต	TOP HAT
ธอร์สไตน์	THORSTEIN
นครา	NACRA
นอต	KNOT
นอนพาราเมตริก	NONPARAMETRIC
นอนมีเทน	NON-METHANE
นอนรีดอกซ์	NONREDOX
นอนสต็อป	NONSTOP
นอนเซนส์	NONSENSE
นอนเอเควียสเฟส	NON-AQUEOUS PHASE
นอนแอทเทนเมนท์	NON-ATTAINMENT
นอนโทรไนต์	NONTRONITE
นอนไอโอนิคโพลีเมอร์	NON-IONIC POLYMER
นอปฟ์	KNOPF
นอปเปิร์ส	KNOPPERS
นอฟ	KNAUF
นอฟซีเกอร์	NOFZIGER
นอม	NAUM
นอย	NEU
นอยซ์	NOISE
นอยมันน์	NEUMANN
นอยส์	NOYES
นอรา	NORA
นอรี่	NORIE
นอร่าห์	NORAH
นอร์	KNORR
นอร์	NORR
นอร์ครอส	NORCROSS
นอร์ด	NORD
นอร์ดสเตริม	NORDSTROM
นอร์ดฮอฟ	NORDHOFF
นอร์ดัน	NORDEN
นอร์ดิก	NORDIC
นอร์ดีค่า	NORDICA
นอร์ดเกรน	NORDGREN
นอร์ดเฮาส์	NORDHAUS
นอร์ดแลนด์	NORDLAND
นอร์ต	NORTE
นอร์ตทอมเบอร์เลินด์	NORTHUMBERLAND
นอร์ตัน	NORTON
นอร์ตแทมป์เติ้น	NORTHAMPTON
นอร์ท	NORTH
นอร์ทครอฟต์	NORTHCROFT
นอร์ทคลีฟ	NORTHCLIFFE
นอร์ททัป	NORTHUP
นอร์ทบรูก	NORTHBROOK
นอร์ทฟิลด์	NORTHFIELD
นอร์ทมอร์	NORTHMORE
นอร์ทรัป	NORTHROP
นอร์ทวูด	NORTHWOOD
นอร์ทีย์	NORTHEY
นอร์ทเคิต	NORTHCOTT
นอร์ทเริป	NORTHRUP
นอร์ทโคต	NORTHCOTE
นอร์บี้	NORBY
นอร์ฟอล์ก	NORFOLK
นอร์มอลลิตี้	NORMALITY
นอร์ริงเติ้น	NORRINGTON
นอร์ริช	NORRISH
นอร์ริส	NORRIS
นอร์ริส, ชัก	NORRIS, CHUCK
นอร์รี่	NORRIE
นอร์วิล	NORVILLE
นอร์วีเจียน	NORWEGIAN
นอร์วูด	NORWOOD
นอร์ส	NOURSE
นอร์เทอร์	NORTHER
นอร์เทิน	NORTHEN
นอร์เบิร์ก	NORBERG
นอร์เบิร์ต	NORBERT
นอร์เมินดี	NORMANDY
นอร์เมินเติ้น	NORMANTON
นอร์เมิ่นดิน	NORMANDIN
นอร์เริ่ล	NORELL
นอร์เลินด์	NORLAND
นอร์เลินเดอร์	NORLANDER
นอร์เวย์	NORWAY
นอร์เวิล	NORVAL
นอร์เวิล	NORVELL
นอร์แบรี่	NORBURY
นอร์แมน	NORMAN
นอร์แมน, เกรก	NORMAN, GREG
นอร์แมนบี้	NORMANBY
นอร์แมล	NORMAL
นอล	NALL
นอส	KNAUSS
นอเกิล	NAUGLE
นอเคิลส์	NUCKOLLS
นอเบลาก์	KNOBLAUCH
นอเมร่า	NAMARA
นอเริน	NOREN
นอเลิน	NOLEN
นอเวล	NOVEL
นอเวิก	NOVACK
นักเกต	NUGGET
นัต	NUTT
นัตติ่ง	NUTTING
นัตตี	NUTTY
นัตเตอร์	NUTTER
นัตเทิล	NUTTALL
นัตเมก	NUTMEG
นัตแคร็กเกอร์	NUTCRACKER
นัท	NUTS
นัน	NUNN
นันซีโอ้	NUNZIO
นันลิสต์	NUNLIST
นัปป์	NUPP
นัฟฟิลด์	NUFFIELD
นัมบ์	NUMB
นัมมูลิติก	NUMMULITIC
นัมล็อก	NUM LOCK
นัมเบอร์	NUMBER
นัมเบอร์วัน	NUMBER ONE
นัลเลอร์	KNOWLER
นัสซอ	NASSAU
นัสซาโร	NAZZARO
นัสเซลต์	NUSSELT
นัสเซอร์, จะมัล อับดุล	NASSER, GAMAL ABDEL
นัสเตอร์เที่ยม	NASTURTIUM
นา	NA
นาซา	NASA
นาซี	NAZI
นาทาล	NATAL
นาบี	NABIS
นาฟตา	NAFTA
นาม	NAMM
นารอด	NAROD
นารอดนิค	NARODNIK
นารามอร์	NARAMORE
นาร์ซิสซัส	NARCISSUS
นาร์ดิน	NARDIN
นาร์ดี้	NARDI
นาร์วีสัน	NARVESON
นาร์ว่า	NARVA
นาร์เบอโร	NARBOROUGH
นาวี	NAVY
นาส	NAAS
นาสติก	NASTIC
นาห์อุม	NAHUM
นาอูรู	NAURU
นาเจร่า	NAJERA
นาเดนี	NADENE
นาแทชา	NATASHA
นาแบโร่	NABARRO
นาโน	NANO
นาโนเทคโนโลยี	NANOTECHNOLOGY
นาโบคอฟ	NABOKOV
นาโอตนี่	NOWOTNY
นิก	NICK
นิกกี	NICKY
นิกรอยด์	NEGROID
นิกรอโพนตี้	NEGROPONTE
นิกลิน	NICKLIN
นิกสัน	NIXON
นิกส์	NIX
นิการากัว	NICARAGUA
นิกาเรีย	NICARIA
นิกเกอิ	NIKKEI
นิกเกิล	NICKEL
นิกเคิดเดอเมิส	NICODEMUS
นิกเคิล	NICOLL
นิกโคไลต์	NICCOLITE
นิคลอส, แจ็ก	NIKLAUS, JACK
นิคอล	NICHOL
นิคอลส์	NICHOLLS
นิคเกิล	NICKLE
นิซิรอส	NISYROS
นิต	NEET
นิตติ้ง	KNITTING
นิตเทิล	KNITTEL
นิต้า	NITA
นิท	NEITH
นิน	NIN
นิบลิต	NIBLETT
นิป	KNEIP
นิฟ	NEAVE
นิฟ	NEEF
นิฟส์	NEVES
นิม	NEAME
นิมบัส	NIMBUS
นิมฟ์	NYMPH
นิมส์	NIMS
นิมโบสเตรตัส	NIMBOSTRATUS
นิล	NEALE
นิลด์	NIELD
นิลล์	KNILL
นิลส์	NILS
นิลส์สัน	NILSSON
นิลเซิ่น	NIELSEN
นิว	NEW
นิวกินี	NEW GUINEA
นิวคลิอิก	NUCLEIC
นิวคลิอิกแอซิด	NUCLEIC ACID
นิวคลีออน	NUCLEON
นิวคลีโอพลาสซึม	NUCLEOPLASM
นิวคลีโอลัส	NUCLEOLUS
นิวคลีโอโปรตีน	NUCLEOPROTEIN
นิวคลีโอไซด์	NUCLEOSIDE
นิวคลีโอไทด์	NUCLEOTIDE
นิวคลีโอไฟล์	NUCLEOPHILE
นิวคาลิโดเนีย	NEW CALEDONIA
นิวจอร์เจีย	NEW GEORGIA
นิวซัม	NEWSOME
นิวซีแลนด์	NEWZEALAND
นิวตรอน	NEUTRON
นิวตัน	NEWTON
นิวตัน, ไอแซก	NEWTON, ISAAC
นิวตัน-จอห์น, โอลิเวีย	NEWTON-JOHN, OLIVIA
นิวทริโน	NEUTRINO
นิวทรีชัน	NUTRITION
นิวบริเตน	NEW BRITAIN
นิวฟันด์แลนด์	NEWFOUNDLAND
นิวมอเนีย	PNEUMONIA
นิวยอร์ก	NEW YORK
นิวลุก	NEW LOOK
นิวว์เลิ่นด์	NIEUWLAND
นิวส์คลิปปิง	NEWS CLIPPING
นิวเคลียร์	NUCLEAR
นิวเคลียร์ฟิวชั่น	NUCLEAR FUSION
นิวเคลียร์ฟิสิกส์	NUCLEAR PHYSICS
นิวเคลียส	NUCLEUS
นิวเดลี	NEW DELHI
นิวเทรียนต์	NUTRIENT
นิวเบอรี	NEWBERY
นิวเมติก	PNEUMATIC
นิวเมรัล	NUMERAL
นิวเอิร์ก	NEWARK
นิวแซนซ์	NUISANCE
นิวแมน	NEWMAN
นิวแมน, พอล	NEWMAN, PAUL
นิวแฮโนเวอร์	NEW HANOVER
นิวโบลด์	NEWBOLD
นิวไคลด์	NUCLIDE
นิวไอร์แลนด์	NEW IRELAND
นิส	NEICE
นิส	NIECE
นิสต์	NIST
นิสลีย์	NISLEY
นิสเกินเนิน	NISKANEN
นิสเซิ่น	NIESSEN
นิสเบิต	NISBET
นิฮอฟ	NIEHOFF
นิเคลิส	NICKLAS
นิเคอร์สัน	NICKERSON
นิเคิล	NICHOLL
นิเคิลส์	NICOLLS
นิเนี่ยน	NINIAN
นิเรนเบิร์ก	NIRENBERG
นิเลินด์	KNEELAND
นิเลินเดอร์	NYLANDER
นิเฮาส์	NIEHAUS
นิโกเซีย	NICOSIA
นิโคติน	NICOTINE
นิโครม	NICHROME
นิโคลปริซึม	NICOL PRISM
นิโคลสัน	NICOLSON
นิโคลสัน, เบน	NICHOLSON, BEN
นิโคลสัน, แจ็ก	NICHOLSON, JACK
นิโคลส์	NICHOLS
นิโคลัส	NICHOLAS
นิโคลา	NICOLA
นิโคลีนี่	NICOLINI
นิโคเลาส์	NICOLAUS
นิโบล	NIBLO
นี	KNEE
นี	NEE
นีการ์ด	NYGAARD
นีกีตา	NIKITA
นีด	NEED
นีดดี้	NEEDY
นีดเดิ่ม	NEEDHAM
นีบล็อก	NIBLOCK
นีบุร์	NIEBUHR
นีพิ้น	NEPEAN
นีมี่	NIEMI
นีล	NEEL
นีลส์	NIELS
นีลี่	NEELEY
นีส	NEESE
นีส์	NEES
นีออน	NEON
นีอิสเบาม์	NUSBAUM
นีเกรน	NYGREN
นีเกิส	NEGUS
นีเคอร์บอเคอร์	KNICKERBOCKER
นีเชอ, ฟรีดริช	NIETZSCHE, FRIEDRICH
นีเดล	NIEDERL
นีเดอร์เลินเดอร์	NIEDERLANDER
นีเดอร์ไมเออร์	NIEDERMEYER
นีเดิลส์	NEEDLES
นีเนต	NINETTE
นีเมิ่น	NIEMANN
นีเรินเบิร์ก	NIERENBERG
นีเลิน	NEALON
นีเออร์	NIER
นีเออไมเออ	NEHEMIAH
นีโครซิส	NECROSIS
นีโคไล	NIKOLAI
นีโร	NERO
นีโอดิเมียม	NEODYMIUM
นีโอพรีน	NEOPRENE
นีโอพลาสซึม	NEOPLASM
นีโอยีน	NEOGENE
นีไมออร์	NEMEYER
นีไมเออร์, ออสการ์	NIEMEYER, OSCAR
นี่	NIE
นี๊บ	NEEB
นุก	NUKE
นู	KNEW
นูกัวโลฟา	NUKUALOFA
นูกา	NOUGAT
นูกูอะโลฟา	NUKU'ALOFA
นูคอมเมอร์	NEWCOMER
นูชี่	NUCCI
นูด	NUDE
นูดสัน	KNUDSON
นูดเซิ่น	KNUDSEN
นูต	NEWT
นูท	NEWTH
นูนส์	NUNES
นูนาทัก	NUNATAK
นูนเฮิ่ม	NEWNHAM
นูบรานช์	NEWBRANCH
นูบส์	NOOBS
นูบีกิ้น	NEWBEGIN
นูบี้	NEWBY
นูป	KNOOP
นูมาร์ช	NEWMARCH
นูลลาห์	NULLAH
นูลิน	NEWLIN
นูส	NUSE
นูสัน	NEWSON
นูสแต็ดต์	NEUSTADT
นูออล	NEWALL
นูอิงเติ้น	NEWINGTON
นูฮอร์ส	NEWHORSE
นูฮอล	NEWHALL
นูเกิร์ก	NEWKIRK
นูเคิ่ม	NEWCOMB
นูเคิ้ม	NEWCOME
นูเจิ้นต์	NUGENT
นูเซิ่ม	NEWSOM
นูเนอร์	NOONER
นูเนอลี่	NUNALLY
นูเนิน	NOONAN
นูเบอร์เกอร์	NEUBERGER
นูเบาเออร์	NEUBAUER
นูเบิร์ก	NEWBURGH
นูเบิร์น	NEWBURN
นูเพิร์ต	NEUPERT
นูเฟลด์	NEUFELD
นูเมิ่น	NEUMAN
นูเลิ่นด์	NEWLAND
นูเออร์	NEWER
นูเอิล	NEWELL
นูเฮิ่ม	NEWHAM
นูแคสเซิ่ล	NEWCASTLE
นูแลนด์ส	NEWLANDS
นูแอกชอต	NOUAKCHOTT
นูโลฟ	NEWLOVE
นูโว	NOUVEAU
นูไมย์เออร์	NEUMEYER
น็อก	KNOCH
น็อกดาวน์	KNOCK-DOWN
น็อกส์	NOX
น็อกเอาต์	KNOCK OUT
น็อต	NOTT
น็อตติงแฮม	NOTTINGHAM
น็อตติจ	NOTTAGE
น็อตส์	KNOTTS
น็อตเตอร์	NOTTER
น็อตเมิ่น	NOTMAN
น็อบส์	NOBS
น็อปป์	KNOPP
น๊อต	KNOTS
บยาร์ด	BYARD
บรอกเคน	BROCKEN
บรอกโคลี	BROCCOLI
บรอกโคลี	BROCOLI
บรองก์	BRONK
บรอด	BROAD
บรอดคาสต์	BROADCAST
บรอดดิส	BROADDUS
บรอดริก	BROADRICK
บรอดลีย์	BROADLEY
บรอดวอเตอร์	BROADWATER
บรอดวู๊ด	BROADWOOD
บรอดี้	BROADY
บรอดเบนต์	BROADBENT
บรอดเมิ่น	BROADMAN
บรอดเวย์	BROAD WAY
บรอดเฮด	BRODHEAD
บรอตเมิ่น	BROTMAN
บรอท	BROTH
บรอนชไวเกอร์	BRAUNSCHWEIGER
บรอนฟ์เมิ่น	BRONFMAN
บรอนสัน, ชาลส์	BRONSON, CHARLES
บรอนเต	BRONTE
บรอนเต, ชาร์ลอตต์	BRONTE, CHARLOTTE
บรอนเต, เอมิลี	BRONTE, EMILY
บรอนเนอร์	BRONNER
บรอม	BROME
บรอมวิช	BROMWICH
บรอยด้า	BROIDA
บรอยฮิล	BROYHILL
บรอยเออร์, มาร์เซล	BREUER, MARCEL
บรอว์ลีย์	BRAWLEY
บรอว์เนอร์	BRAWNER
บรอเคิส	BROCAS
บรอเดอริก	BRODERICK
บรอเดอร์	BRODEUR
บรอเติ้น	BROUGHTON
บรัก	BRUCHE
บรักกิ่งก์	BRUGGINK
บรักเกอร์	BRUGGER
บรักเมิ่น	BROCKMAN
บรังก์	BRUNK
บรัช	BRUSH
บรัชออน	BRUSH ON
บรัดสกี้	BRODSKY
บรัตโต้	BRUTTO
บรัน	BRUN
บรันช์	BRUNCH
บรันดท์, วิลลี	BRANDT, WILLY
บรันดิจ	BRUNDAGE
บรันสกิล	BRUNSKILL
บรันสติตเตอร์	BRUNSTETTER
บรันสวิกสตู	BRUNSWICK STEW
บรันสัน	BRUNSON
บรันส์	BRUNSE
บรันเดส	BRANDES
บรันเดิล	BRUNDLE
บรันเติ้น	BRUNTON
บรันเนอร์	BRUNNER
บรัฟ	BRUFF
บรัมบิ	BRUMBY
บรัมป์เติ้น	BROMPTON
บรัมฟิลด์	BROMFIELD
บรัมฟิลด์	BRUMFIELD
บรัมมิต	BRUMMETT
บรัมลีย์	BRUMLEY
บรัมลี่	BROMLEY
บรัมส์	BROMS
บรัมเบิร์ก	BRUMBERG
บรัสเซล	BRUSSEL
บรัสเซลส์	BRUSSELS
บรั่นดี	BRANDY
บรา	BRA
บราก, ชอร์ช	BRAQUE, GEORGES
บราคิสโทโครน	BRACHISTOCHRONE
บราช	BRAASCH
บราซซาวิล	BRAZZAVILLE
บราซิล	BRAZIL
บราซิลนัต	BRAZIL NUT
บราซิลวูด	BRAZILWOOD
บราซิเลีย	BRASILIA
บรานช์	BRANCH
บรามส์, โยฮันเนส	BRAHMS, JOHANNES
บรามิน	BRAHMINS
บราว	BRAUN
บราวนิง	BROWNING
บราวนี	BROWNIE
บราวน์	BROWNE
บราวน์, นาซีโอ เฮิร์บ	BROWN, NACIO HERB
บราวน์, เจมส์	BROWN, JAMES
บราวน์, แจ็กสัน	BROWNE, JACKSON
บราวน์ชูการ์	BROWN SUGAR
บราวน์ลี่	BROWNLEE
บราวน์สโตน	BROWNSTONE
บราวน์สไตน์	BROWNSTEIN
บราวน์โลว์	BROWNLOW
บราวสไตน์	BRAUNSTEIN
บราวอยต์	BRAVOITE
บราวเออร์	BROUWER
บราฮา	BLAHA
บราเคิต	BROCKET
บราเคียล	BRACHIAL
บราเชรส์	BRASHARES
บราเซียร์	BRASSIERE
บราเทอร์	BROTHER
บราเทอร์เติ้น	BROTHERTON
บราเทิร์ส	BROTHERS
บราเบอเคอร์	BRUBAKER
บราเบิร์น	BRABOURNE
บราเมอร์	BRUMMER
บราเว	BRAVAIS
บราเออร์	BRAUER
บราเอเทิ่น	BRAATEN
บราโว่	BRAVO
บริกซ์	BRIX
บริกฟิลเดอร์	BRICKFIELDER
บริกลีย์	BRICKLEY
บริกส์	BRIGGS
บริกฮิล	BRICKHILL
บริกาโล	BRIGALOW
บริกเดิ่น	BRIGDEN
บริกเนอร์	BRICKNER
บริกเมิ่น	BRICKMAN
บริกเว็ด	BRICKWEDDE
บริกเฮาส์	BRIGHOUSE
บริกแฮม	BRIGHAM
บริงก์	BRINCK
บริงก์เมิ่น	BRINKMAN
บริงส์	BRINGS
บริงเคอร์	BRINKER
บริงเคอร์ฮอฟ	BRINCKERHOFF
บริจวอเตอร์	BRIDGWATER
บริจิด	BRIGID
บริดจิต	BRIDGIT
บริดจ์	BRIDGE
บริดจ์วอเตอร์	BRIDGEWATER
บริดจ์เมิน	BRIDGMAN
บริดพอร์ต	BRIDPORT
บริดี้	BRIDIE
บริดเจต	BRIDGET
บริดเจส	BRIDGES
บริดเจอร์	BRIDGER
บริดเวล	BRIDEWELL
บริตตานี	BRITTANY
บริตต์	BRITT
บริตเติ้น	BRITTON
บริตเทิน	BRITTAIN
บริตเทิลไมกา	BRITTLE MICA
บริน	BREEN
บรินด์	BRIND
บรินด์ลีย์	BRINDLEY
บรินสลีย์	BRINSLEY
บรินเดิล	BRINDLE
บรินเนอร์	BRYNNER
บริมสโตน	BRIMSTONE
บริมเมอร์	BRIMMER
บริล	BRILL
บริลเยิ่นต์	BRILLIANT
บริลเลิ่นต์	BRILLANT
บริว	BREW
บริวเติ้น	BREWTON
บริวเวอร์เติ้น	BREWERTON
บริสตอล	BRISTOL
บริสต์ลิง	BRISTLING
บริสบิ้น	BRISBIN
บริสลิง	BRISLING
บริสเซิน	BRISSON
บริสเตอร์	BRISTER
บริสเบน	BRISBANE
บริสโค	BRISCO
บริเกอเดียร์	BRIGADIER
บริเคอร์	BRICKER
บริเคิล	BRICKELL
บริเซนดีนี	BRIZENDINE
บริเตน	BRITAIN
บริเติ้น	BRITON
บริเทิน	BRITTEN
บริเมอร์	BREMER
บริโค่	BRICO
บริโต้	BRITO
บรีจิส	BRYDGES
บรีด	BREEDE
บรีดดิ้ง	BREEDING
บรีตเลิ่น	BRETLAND
บรีทด์	BREATHED
บรีนลีย์	BRINLEY
บรีฟ	BRIEF
บรีฟส์	BRIEFS
บรีม	BRIEM
บรีลีย์	BRILEY
บรีส	BREESE
บรีเดิ้น	BREEDEN
บรีเนอ	BRYNA
บรีเมอโล่	BRIMELOW
บรึกเนอร์	BRUCKNER
บรุก	BROOK
บรุกลิน	BROOKLYN
บรุกส์	BROOKS
บรูกส์	BROOKES
บรูกฮาร์ต	BROOKHART
บรูกเฮาเซิ่น	BRUCHHAUSEN
บรูซ	BRUCE
บรูตัส	BRUTUS
บรูน	BRUNE
บรูนิเซม	BRUNIZEM
บรูม	BROOM
บรูมฟิลด์	BROOMFIELD
บรูมเฮด	BROOMHEAD
บรูมเฮิล	BROOMHALL
บรูรี	BRUREE
บรูล	BREUIL
บรูว์สเตอร์	BREWSTER
บรูว์เอรี	BREWERY
บรูส	BREWS
บรูอิน	BRUIN
บรูเกล, พีเทอร์	BRUEGEL, PIETER
บรูเกิ่ม	BROUGHAM
บรูเคอร์	BROOKER
บรูเดอเนิ่ล	BRUDENELL
บรูเทิ้น	BRUTON
บรูเนอร์	BRUNER
บรูเฟิร์ด	BRUFORD
บรูเอิ้น	BREWIN
บรูโซ่	BROUSSEAU
บรูโน	BRUNO
บรูไคต์	BROOKITE
บรูไซต์	BRUCITE
บรูไน	BRUNEI
บรู๊กคลิน	BROOKLINE
บรู๊กฟิลด์	BROOKFIELD
บร็อก	BROCK
บร็อกคิต	BROCKETT
